index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
108,0.65,1,8,3,34.98451,56.43394,21.9949,8.767244,52.70557,45.14124,8.756155,5.153371,3.792605
109,0.65,1,8,4,60.66785,23.55934,37.46885,56.60966,48.53632,8.894338,4.442341,4.441517,8.883859
110,0.65,1,8,5,8.890906,8.891423,8.890832,8.890715,8.891305,8.891231,8.883773,8.884363,8.884245
111,0.65,1,9,1,64.21351,56.68241,62.38995,65.36779,59.94445,57.98681,0.9834556,0.9833252,1.96678
112,0.65,1,9,2,22.64053,37.52563,59.47293,47.22658,10.0748,55.91007,4.394217,10.06518,5.890831
113,0.65,1,9,3,37.11523,59.37263,22.99054,9.782687,55.60794,47.36308,9.771655,5.773473,4.247523
114,0.65,1,9,4,64.21351,24.73094,39.97363,60.08579,51.22522,9.927221,4.958878,4.957935,9.916813
115,0.65,1,9,5,9.923788,9.924416,9.923681,9.92354,9.924275,9.924168,9.91665,9.917385,9.917229
116,0.65,1,10,1,72.4789,63.04786,69.66923,73.57292,67.3365,64.30254,1.435342,1.43515,2.870492
117,0.65,1,10,2,24.70205,42.88861,66.19869,52.10709,13.1274,62.80447,5.805103,13.11805,7.717498
118,0.65,1,10,3,42.29645,66.06728,25.23425,12.73618,62.37248,52.32679,12.72535,7.568826,5.616943
119,0.65,1,10,4,72.4789,27.34486,46.14742,68.35642,57.36503,12.92882,6.459941,6.458674,12.91862
120,0.65,1,10,5,12.92537,12.92637,12.92512,12.92491,12.92616,12.92592,12.91817,12.91942,12.91912
121,0.65,1,11,1,79.8954,68.71716,76.02899,80.83992,74.00493,69.81308,2.04258,2.042318,4.084896
122,0.65,1,11,2,26.52995,48.2289,72.07955,56.19169,16.97325,69.13546,7.668618,16.96421,9.991459
123,0.65,1,11,3,47.40138,71.91933,27.31299,16.46609,68.53845,56.53859,16.45555,9.817987,7.431489
124,0.65,1,11,4,79.8954,29.60979,52.28717,76.0651,62.67913,16.71431,8.353002,8.351378,16.70438
125,0.65,1,11,5,16.71082,16.71242,16.71032,16.71001,16.7121,16.7116,16.70347,16.70556,16.70498
126,0.65,1,12,1,82.63115,70.81787,78.34304,83.49822,76.48196,71.8277,2.344304,2.344013,4.688316
127,0.65,1,12,2,27.27193,50.41087,74.22341,57.63225,18.80533,71.54714,8.586387,18.79644,11.06422
128,0.65,1,12,3,49.47043,74.05402,28.17869,18.24583,70.87219,58.04794,18.23543,10.88521,8.325644
129,0.65,1,12,4,82.63115,30.47122,54.77115,79.00858,64.58291,18.51889,9.255426,9.253653,18.50908
130,0.65,1,12,5,18.51537,18.51729,18.51471,18.51435,18.51692,18.51626,18.5079,18.51048,18.50973
131,0.65,1,13,1,84.92037,72.58803,80.27138,85.71436,78.5651,73.51535,2.64369,2.643375,5.287063
132,0.65,1,13,2,27.96698,52.36485,76.01233,58.81584,20.57986,73.61555,9.49234,20.5711,12.09724
133,0.65,1,13,3,51.31504,75.83702,28.99408,19.97109,72.86589,59.30295,19.96084,11.91693,9.207916
134,0.65,1,13,4,84.92037,31.23557,56.97561,81.52649,66.15124,20.26737,10.1298,10.12789,20.25769
135,0.65,1,13,5,20.26384,20.26609,20.263,20.26258,20.26567,20.26483,20.25623,20.25932,20.25838
136,0.65,1,14,1,88.52588,75.41547,83.30575,89.1923,81.87129,76.19666,3.233944,3.233592,6.467534
137,0.65,1,14,2,29.316,55.76107,78.83227,60.65896,23.96478,77.00262,11.26448,23.95629,14.05236
138,0.65,1,14,3,54.50356,78.65385,30.56928,23.26525,76.11318,61.29464,23.25529,13.88122,10.93146
139,0.65,1,14,4,88.52588,32.61083,60.75081,85.61835,68.58045,23.6039,11.79829,11.79617,23.59447
140,0.65,1,14,5,23.60034,23.60328,23.59908,23.59858,23.60278,23.60152,23.59241,23.59661,23.59523
141,0.7,1,1,1,14.91254,14.53825,14.98,15.07987,14.64113,14.70984,0.03524272,0.03524119,0.0704839
142,0.7,1,1,2,6.150912,8.617807,14.76283,12.07314,1.444477,13.49792,0.6767897,1.433414,0.7572425
143,0.7,1,1,3,8.603548,14.75962,6.162194,1.430719,13.4878,12.07776,1.419266,0.7512504,0.6686759
144,0.7,1,1,4,14.91254,6.226214,8.690585,13.62662,12.20344,1.437617,0.7131952,0.7131532,1.426348
145,0.7,1,1,5,1.433996,1.434022,1.434005,1.433997,1.434014,1.434023,1.426492,1.426509,1.42651
146,0.7,1,2,1,23.31456,22.3605,23.39901,23.6796,22.65397,22.74086,0.05448457,0.05448093,0.1089655
147,0.7,1,2,2,10.2185,12.67627,22.88916,19.11347,1.448827,20.53278,0.6584024,1.437865,0.7811787
148,0.7,1,2,3,12.65396,22.88341,10.23533,1.428178,20.51652,19.1198,1.416611,0.7714744,0.6469692
149,0.7,1,2,4,23.31456,10.43088,12.8874,20.90059,19.4821,1.438514,0.7136515,0.7135869,1.427238
150,0.7,1,2,5,1.434832,1.434858,1.434842,1.434837,1.434853,1.434863,1.427328,1.427344,1.427346
151,0.7,1,3,1,27.10427,25.79462,27.17032,27.57034,26.21564,26.28392,0.06297366,0.0629688,0.1259424
152,0.7,1,3,2,12.02661,14.47428,26.49489,22.23908,1.450205,23.65253,0.6507536,1.439291,0.7910357
153,0.7,1,3,3,14.4484,26.488,12.04591,1.426707,23.63356,22.24617,1.415093,0.7797497,0.6380185
154,0.7,1,3,4,27.10427,12.32995,14.77826,24.18022,22.76648,1.438462,0.7136306,0.7135562,1.427187
155,0.7,1,3,5,1.434767,1.434792,1.434776,1.434773,1.434789,1.434798,1.427264,1.427279,1.427282
156,0.7,1,4,1,32.32487,30.44093,32.33082,32.93278,31.07952,31.08571,0.148114,0.1481009,0.2962149
157,0.7,1,4,2,13.3537,18.08441,31.40278,25.83191,2.863572,28.56594,1.27454,2.852828,1.587134
158,0.7,1,4,3,18.02345,31.38887,13.40234,2.809161,28.52243,25.85162,2.797606,1.562992,1.24424
159,0.7,1,4,4,32.32487,13.80041,18.54897,29.36818,26.62473,2.836351,1.412675,1.412505,2.825179
160,0.7,1,4,5,2.832741,2.832812,2.83275,2.832733,2.832795,2.832803,2.825299,2.825361,2.825356
161,0.7,1,5,1,37.04048,34.54969,36.94802,37.77398,35.4316,35.33493,0.2511189,0.2510945,0.5022133
162,0.7,1,5,2,14.50619,21.36098,35.76735,29.00097,4.248086,32.96846,1.877085,4.237506,2.380722
163,0.7,1,5,3,21.25806,35.74665,14.59253,4.158179,32.89636,29.03802,4.146698,2.343037,1.825994
164,0.7,1,5,4,37.04048,15.102,22.0097,34.08214,30.08711,4.203056,2.096136,2.095856,4.191992
165,0.7,1,5,5,4.199518,4.19965,4.199514,4.199482,4.199618,4.199614,4.192127,4.192262,4.192238
166,0.7,1,6,1,39.93089,37.01555,39.74933,40.73824,38.07553,37.88508,0.2692433,0.2692153,0.5384585
167,0.7,1,6,2,15.84018,22.66129,38.40113,31.29204,4.25225,35.23941,1.866019,4.241697,2.400029
168,0.7,1,6,3,22.55053,38.37794,15.93206,4.157251,35.16131,31.33081,4.145734,2.359225,1.813317
169,0.7,1,6,4,39.93089,16.56009,23.44183,36.57755,32.59805,4.204645,2.096938,2.096638,4.193576
170,0.7,1,6,5,4.201088,4.201221,4.201085,4.201054,4.201189,4.201187,4.193696,4.193831,4.193808
171,0.7,1,7,1,51.87491,46.92126,51.10263,52.92558,48.90035,48.08032,0.5631541,0.5630844,1.126238
172,0.7,1,7,2,19.44179,29.92304,49.0094,39.43098,6.947957,45.52155,3.01494,6.937727,4.008031
