index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
183,0.7,1,9,3,32.21659,59.37532,28.95608,8.70431,52.56176,50.62882,8.694935,5.263094,3.656433
184,0.7,1,9,4,64.21351,30.5586,35.28219,57.16228,54.37384,8.830713,4.411177,4.41017,8.821347
185,0.7,1,9,5,8.828196,8.828278,8.827761,8.827822,8.828339,8.827904,8.821623,8.822139,8.82166
186,0.7,1,10,1,72.4789,62.99327,69.26265,73.33219,67.44217,63.97321,1.377142,1.376871,2.754012
187,0.7,1,10,2,32.46547,36.2405,65.79182,56.13,11.63604,58.39482,4.965511,11.62703,7.05769
188,0.7,1,10,3,35.8578,66.05277,32.97254,11.29849,58.33897,56.61123,11.28941,6.91841,4.786398
189,0.7,1,10,4,72.4789,35.05417,39.93696,64.46575,61.56018,11.46466,5.728463,5.727047,11.45551
190,0.7,1,10,5,11.4625,11.4626,11.46173,11.46188,11.46275,11.46198,11.45583,11.4567,11.45588
191,0.7,1,11,1,79.8954,68.67962,75.42298,80.47126,74.18818,69.34869,1.958737,1.95832,3.917056
192,0.7,1,11,2,36.28533,39.72258,71.51882,61.33295,14.98964,63.42717,6.491313,14.98088,9.175604
193,0.7,1,11,3,39.16092,71.87606,36.97972,14.55996,63.32979,62.00457,14.55124,9.007545,6.259831
194,0.7,1,11,4,79.8954,39.48348,44.27114,71.01047,68.12841,14.77017,7.381616,7.379679,14.76129
195,0.7,1,11,5,14.76853,14.76867,14.76723,14.76752,14.76896,14.76766,14.76167,14.76311,14.76174
196,0.7,1,12,1,82.63115,70.79329,77.63897,83.06563,76.70578,71.29995,2.24761,2.247118,4.494727
197,0.7,1,12,2,37.84912,41.08263,73.59221,63.26898,16.58165,65.25495,7.234531,16.57301,10.18317
198,0.7,1,12,3,40.43073,73.99436,38.63073,16.11187,65.13391,64.032,16.10331,10.00581,6.976882
199,0.7,1,12,4,82.63115,41.27443,45.94479,73.42586,70.59739,16.34102,8.167228,8.165038,16.33227
200,0.7,1,12,5,16.33965,16.33981,16.33804,16.33841,16.34018,16.33857,16.33266,16.33443,16.33274
201,0.7,1,13,1,84.92037,72.57826,79.47107,85.21851,78.82984,72.92689,2.534193,2.533624,5.067816
202,0.7,1,13,2,39.25701,42.28022,75.31489,64.90814,18.12101,66.78018,7.963375,18.11249,11.15921
203,0.7,1,13,3,41.53846,75.75976,40.12149,17.61439,66.63389,65.75975,17.60599,10.97565,7.679037
